"Plot Title: 3"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 1161340, SEN S/N: 1161340)","Intensity, lum/ft² (LGR S/N: 1161340, SEN S/N: 1161340)","Coupler Attached (LGR S/N: 1161340)","Host Connected (LGR S/N: 1161340)","Stopped (LGR S/N: 1161340)","End Of File (LGR S/N: 1161340)"
1,03/17/17 10:00:00 AM,72.199,0.0,,,,
2,03/17/17 10:30:00 AM,72.891,22.0,,,,
3,03/17/17 11:00:00 AM,78.098,14.0,,,,
4,03/17/17 11:30:00 AM,80.735,10.0,,,,
5,03/17/17 12:00:00 PM,83.399,13.0,,,,
6,03/17/17 12:30:00 PM,86.459,17.0,,,,
7,03/17/17 01:00:00 PM,116.796,15872.0,,,,
8,03/17/17 01:30:00 PM,121.582,13312.0,,,,
9,03/17/17 02:00:00 PM,116.100,11264.0,,,,
10,03/17/17 02:30:00 PM,112.914,9216.0,,,,
11,03/17/17 03:00:00 PM,109.180,9216.0,,,,
12,03/17/17 03:30:00 PM,104.128,6400.0,,,,
13,03/17/17 04:00:00 PM,99.885,6144.0,,,,
14,03/17/17 04:30:00 PM,94.825,4096.0,,,,
15,03/17/17 05:00:00 PM,81.975,2304.0,,,,
16,03/17/17 05:30:00 PM,76.354,1728.0,,,,
17,03/17/17 06:00:00 PM,70.995,864.0,,,,
18,03/17/17 06:30:00 PM,63.797,320.0,,,,
19,03/17/17 07:00:00 PM,57.441,15.0,,,,
20,03/17/17 07:30:00 PM,54.495,0.0,,,,
21,03/17/17 08:00:00 PM,53.274,0.0,,,,
22,03/17/17 08:30:00 PM,52.050,0.0,,,,
23,03/17/17 09:00:00 PM,50.995,0.0,,,,
24,03/17/17 09:30:00 PM,49.937,0.0,,,,
25,03/17/17 10:00:00 PM,49.050,0.0,,,,
26,03/17/17 10:30:00 PM,48.871,0.0,,,,
27,03/17/17 11:00:00 PM,49.050,0.0,,,,
28,03/17/17 11:30:00 PM,47.982,0.0,,,,
29,03/18/17 12:00:00 AM,46.369,0.0,,,,
30,03/18/17 12:30:00 AM,46.008,0.0,,,,
31,03/18/17 01:00:00 AM,45.648,0.0,,,,
32,03/18/17 01:30:00 AM,46.908,0.0,,,,
33,03/18/17 02:00:00 AM,46.188,0.0,,,,
34,03/18/17 02:30:00 AM,45.648,0.0,,,,
35,03/18/17 03:00:00 AM,45.104,0.0,,,,
36,03/18/17 03:30:00 AM,44.195,0.0,,,,
37,03/18/17 04:00:00 AM,43.466,0.0,,,,
38,03/18/17 04:30:00 AM,42.915,0.0,,,,
39,03/18/17 05:00:00 AM,42.363,0.0,,,,
40,03/18/17 05:30:00 AM,41.994,0.0,,,,
41,03/18/17 06:00:00 AM,41.439,0.0,,,,
42,03/18/17 06:30:00 AM,41.994,0.0,,,,
43,03/18/17 07:00:00 AM,41.439,118.0,,,,
44,03/18/17 07:30:00 AM,43.466,304.0,,,,
45,03/18/17 08:00:00 AM,45.828,432.0,,,,
46,03/18/17 08:30:00 AM,50.290,704.0,,,,
47,03/18/17 09:00:00 AM,76.876,5888.0,,,,
48,03/18/17 09:30:00 AM,74.446,2944.0,,,,
49,03/18/17 10:00:00 AM,82.508,9216.0,,,,
50,03/18/17 10:30:00 AM,99.291,14336.0,,,,
51,03/18/17 11:00:00 AM,106.414,16384.0,,,,
52,03/18/17 11:30:00 AM,108.108,14848.0,,,,
53,03/18/17 12:00:00 PM,112.244,17408.0,,,,
54,03/18/17 12:30:00 PM,116.796,18432.0,,,,
55,03/18/17 01:00:00 PM,116.796,16384.0,,,,
56,03/18/17 01:30:00 PM,120.119,15360.0,,,,
57,03/18/17 02:00:00 PM,118.679,13824.0,,,,
58,03/18/17 02:30:00 PM,117.262,12288.0,,,,
59,03/18/17 03:00:00 PM,115.637,10240.0,,,,
60,03/18/17 03:30:00 PM,112.690,8192.0,,,,
61,03/18/17 04:00:00 PM,107.470,4864.0,,,,
62,03/18/17 04:30:00 PM,91.800,2432.0,,,,
63,03/18/17 05:00:00 PM,77.050,1024.0,,,,
64,03/18/17 05:30:00 PM,75.832,1024.0,,,,
65,03/18/17 06:00:00 PM,69.964,704.0,,,,
66,03/18/17 06:30:00 PM,64.310,352.0,,,,
67,03/18/17 07:00:00 PM,58.131,12.0,,,,
68,03/18/17 07:30:00 PM,54.842,0.0,,,,
