"Plot Title: 6"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 1156633, SEN S/N: 1156633)","Intensity, lum/ft² (LGR S/N: 1156633, SEN S/N: 1156633)","Bad Battery (LGR S/N: 1156633)","Good Battery (LGR S/N: 1156633)","Coupler Attached (LGR S/N: 1156633)","Host Connected (LGR S/N: 1156633)","Stopped (LGR S/N: 1156633)","End Of File (LGR S/N: 1156633)"
1,03/17/17 10:00:00 AM,71.339,0.0,,,,,,
2,03/17/17 10:30:00 AM,75.139,5.0,,,,,,
3,03/17/17 11:00:00 AM,76.354,8.0,,,,,,
4,03/17/17 11:30:00 AM,77.749,5.0,,,,,,
5,03/17/17 12:00:00 PM,79.326,6.0,,,,,,
6,03/17/17 12:30:00 PM,81.266,8.0,,,,,,
7,03/17/17 01:00:00 PM,95.783,7.0,,,,,,
8,03/17/17 01:30:00 PM,97.137,4.0,,,,,,
9,03/17/17 02:00:00 PM,97.525,3.0,,,,,,
10,03/17/17 02:30:00 PM,102.697,1344.0,,,,,,
11,03/17/17 03:00:00 PM,112.690,12288.0,,,,,,
12,03/17/17 03:30:00 PM,107.046,9216.0,,,,,,
13,03/17/17 04:00:00 PM,101.282,8704.0,,,,,,
14,03/17/17 04:30:00 PM,95.783,5888.0,,,,,,
15,03/17/17 05:00:00 PM,87.733,4608.0,,,,,,
16,03/17/17 05:30:00 PM,81.442,3456.0,,,,,,
17,03/17/17 06:00:00 PM,72.891,1152.0,,,,,,
18,03/17/17 06:30:00 PM,65.338,400.0,,,,,,
19,03/17/17 07:00:00 PM,58.131,19.0,,,,,,
20,03/17/17 07:30:00 PM,54.842,0.0,,,,,,
21,03/17/17 08:00:00 PM,52.576,0.0,,,,,,
22,03/17/17 08:30:00 PM,51.172,0.0,,,,,,
23,03/17/17 09:00:00 PM,50.113,0.0,,,,,,
24,03/17/17 09:30:00 PM,48.339,0.0,,,,,,
25,03/17/17 10:00:00 PM,47.266,0.0,,,,,,
26,03/17/17 10:30:00 PM,46.728,0.0,,,,,,
27,03/17/17 11:00:00 PM,46.908,0.0,,,,,,
28,03/17/17 11:30:00 PM,45.286,0.0,,,,,,
29,03/18/17 12:00:00 AM,44.195,0.0,,,,,,
30,03/18/17 12:30:00 AM,44.013,0.0,,,,,,
31,03/18/17 01:00:00 AM,44.013,0.0,,,,,,
32,03/18/17 01:30:00 AM,44.922,0.0,,,,,,
33,03/18/17 02:00:00 AM,44.195,0.0,,,,,,
34,03/18/17 02:30:00 AM,44.013,0.0,,,,,,
35,03/18/17 03:00:00 AM,43.648,0.0,,,,,,
36,03/18/17 03:30:00 AM,42.732,0.0,,,,,,
37,03/18/17 04:00:00 AM,41.810,0.0,,,,,,
38,03/18/17 04:30:00 AM,41.625,0.0,,,,,,
39,03/18/17 05:00:00 AM,41.067,0.0,,,,,,
40,03/18/17 05:30:00 AM,40.696,0.0,,,,,,
41,03/18/17 06:00:00 AM,40.134,0.0,,,,,,
42,03/18/17 06:30:00 AM,39.947,0.0,,,,,,
43,03/18/17 07:00:00 AM,39.947,124.0,,,,,,
44,03/18/17 07:30:00 AM,41.994,336.0,,,,,,
45,03/18/17 08:00:00 AM,51.699,1920.0,,,,,,
46,03/18/17 08:30:00 AM,66.537,3200.0,,,,,,
47,03/18/17 09:00:00 AM,77.400,4864.0,,,,,,
48,03/18/17 09:30:00 AM,87.552,6912.0,,,,,,
49,03/18/17 10:00:00 AM,91.612,7680.0,,,,,,
50,03/18/17 10:30:00 AM,101.282,10752.0,,,,,,
51,03/18/17 11:00:00 AM,109.180,13312.0,,,,,,
