"Plot Title: 10715203"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10715203, SEN S/N: 10715203)","Intensity, lum/ft² (LGR S/N: 10715203, SEN S/N: 10715203)","Coupler Detached (LGR S/N: 10715203)","Coupler Attached (LGR S/N: 10715203)","Host Connected (LGR S/N: 10715203)","Stopped (LGR S/N: 10715203)","End Of File (LGR S/N: 10715203)"
1,03/17/17 09:27:34 AM,67.221,0.0,,,,,
2,03/17/17 09:27:45 AM,,,Logged,,,,
3,03/17/17 09:57:34 AM,70.651,0.0,,,,,
4,03/17/17 10:27:34 AM,74.446,496.0,,,,,
5,03/17/17 10:57:34 AM,90.309,118.0,,,,,
6,03/17/17 11:27:34 AM,94.253,336.0,,,,,
7,03/17/17 11:57:34 AM,95.016,448.0,,,,,
8,03/17/17 12:27:34 PM,102.290,608.0,,,,,
9,03/17/17 12:57:34 PM,105.994,176.0,,,,,
10,03/17/17 01:27:34 PM,100.083,15.0,,,,,
11,03/17/17 01:57:34 PM,99.885,15.0,,,,,
12,03/17/17 02:27:34 PM,98.503,9.0,,,,,
13,03/17/17 02:57:34 PM,99.291,17.0,,,,,
14,03/17/17 03:27:34 PM,98.110,0.0,,,,,
15,03/17/17 03:57:34 PM,91.425,0.0,,,,,
16,03/17/17 04:27:34 PM,84.115,0.0,,,,,
17,03/17/17 04:57:34 PM,80.559,0.0,,,,,
18,03/17/17 05:27:34 PM,77.923,0.0,,,,,
19,03/17/17 05:57:34 PM,76.876,0.0,,,,,
20,03/17/17 06:27:34 PM,76.181,0.0,,,,,
21,03/17/17 06:57:34 PM,75.832,0.0,,,,,
22,03/17/17 07:27:34 PM,75.484,0.0,,,,,
23,03/17/17 07:57:34 PM,75.139,0.0,,,,,
24,03/17/17 08:27:34 PM,74.964,0.0,,,,,
25,03/17/17 08:57:34 PM,74.619,0.0,,,,,
26,03/17/17 09:27:34 PM,74.446,0.0,,,,,
27,03/17/17 09:57:34 PM,74.271,0.0,,,,,
28,03/17/17 10:27:34 PM,74.098,0.0,,,,,
29,03/17/17 10:57:34 PM,73.753,0.0,,,,,
30,03/17/17 11:27:34 PM,73.580,0.0,,,,,
31,03/17/17 11:57:34 PM,73.407,0.0,,,,,
32,03/18/17 12:27:34 AM,73.234,0.0,,,,,
33,03/18/17 12:57:34 AM,72.891,0.0,,,,,
34,03/18/17 01:27:34 AM,72.718,0.0,,,,,
